service,subset,n_clips,wer_best_macro,wer_best_micro,cer_best_macro,cer_best_micro,wer_verbatim_macro,wer_normalized_macro
hf_shyngys879_kazakh-whisper-large-v3-turbo,all,31,0.1296,0.1309,0.0389,0.0407,0.1977,0.1296
hf_shyngys879_kazakh-whisper-large-v3-turbo,has_contraction=1,20,0.148,0.1443,0.0486,0.0477,0.2377,0.148
hf_shyngys879_kazakh-whisper-large-v3-turbo,has_contraction=0,11,0.0962,0.0935,0.0212,0.0204,0.1251,0.0962
hf_shyngys879_kazakh-whisper-large-v3-turbo,has_dialect_slang=1,0,0.0,0.0,0.0,0.0,0.0,0.0
hf_shyngys879_kazakh-whisper-large-v3-turbo,has_dialect_slang=0,31,0.1296,0.1309,0.0389,0.0407,0.1977,0.1296
hf_shyngys879_kazakh-whisper-large-v3-turbo,has_barbarisms=1,11,0.1999,0.201,0.0704,0.0708,0.3014,0.1999
hf_shyngys879_kazakh-whisper-large-v3-turbo,has_barbarisms=0,20,0.091,0.0901,0.0215,0.0225,0.1407,0.091
hf_shyngys879_kazakh-whisper-large-v3-turbo,has_propers=1,5,0.1064,0.1111,0.0181,0.0191,0.1998,0.1064
hf_shyngys879_kazakh-whisper-large-v3-turbo,has_propers=0,26,0.1341,0.135,0.0429,0.0455,0.1973,0.1341
whisper_local_large-v3,all,31,0.4351,0.4278,0.1304,0.1296,0.4758,0.44
whisper_local_large-v3,has_contraction=1,20,0.4483,0.4315,0.1371,0.1338,0.5004,0.4559
whisper_local_large-v3,has_contraction=0,11,0.4111,0.4173,0.1182,0.1176,0.4309,0.4111
whisper_local_large-v3,has_dialect_slang=1,0,0.0,0.0,0.0,0.0,0.0,0.0
whisper_local_large-v3,has_dialect_slang=0,31,0.4351,0.4278,0.1304,0.1296,0.4758,0.44
whisper_local_large-v3,has_barbarisms=1,11,0.4959,0.5026,0.1624,0.1682,0.5469,0.5026
whisper_local_large-v3,has_barbarisms=0,20,0.4016,0.3844,0.1128,0.1066,0.4367,0.4056
whisper_local_large-v3,has_propers=1,5,0.4895,0.4831,0.1247,0.1242,0.5279,0.5084
whisper_local_large-v3,has_propers=0,26,0.4246,0.4165,0.1315,0.1308,0.4658,0.4269
